NO,기업명,기업코드,ESG등급,지배구조,사회,환경,평가년도,비고
924, AJ네트웍스,095570,B,B,B,C이하,2019,
923, AJ렌터카,068400,C이하,C,B,B,2019,
922, AK홀딩스,006840,B,B,B,C이하,2019,
921, AP시스템,265520,C이하,B,C이하,C이하,2019,
920, BGF,027410,B,B,A,C이하,2019,
919, BGF리테일,282330,B,B+,B+,C이하,2019,
918, BNK금융지주,138930,A+,A+,A+,B+,2019,금융회사
917, BYC,001460,B,B+,B+,C이하,2019,
916, CJ,001040,A,A,A+,B,2019,
915, CJ CGV,079160,B+,A,B+,B,2019,
914, CJ ENM,035760,B,B+,B+,C이하,2019,
913, CJ대한통운,000120,B+,B+,B+,A,2019,
912, CJ씨푸드,011150,C이하,B+,C이하,C이하,2019,
911, CJ제일제당,097950,A,A,A+,A,2019,
910, CJ프레시웨이,051500,A,A,A,B,2019,
909, CJ헬로,037560,B+,B+,B+,C이하,2019,
908, CMG제약,058820,C이하,C,C이하,C이하,2019,
907, CS홀딩스,000590,C이하,B,C이하,C이하,2019,
906, DB,012030,B,B,B,C이하,2019,
905, DB금융투자,016610,B,B,B+,C이하,2019,금융회사
904, DB생명보험,818158,,B,,,2019,금융회사
903, DB손해보험,005830,B+,B+,A,A,2019,금융회사
902, DB하이텍,000990,B+,B+,A,B+,2019,
901, DGB금융지주,139130,B+,B+,A,A,2019,금융회사
900, DGB생명보험,813363,,B+,,,2019,금융회사
899, DRB동일,004840,B,B+,B,B,2019,
898, DSR,155660,C이하,C,B,B,2019,
897, DSR제강,069730,C이하,C,B,C이하,2019,
896, E1,017940,B,B,B+,C이하,2019,
895, F&F,007700,C이하,B,C이하,C이하,2019,
894, GKL,114090,B,B,B+,C이하,2019,
893, GS,078930,B,B+,B+,C이하,2019,
892, GS건설,006360,A,A,A,B+,2019,
891, GS글로벌,001250,B,B+,B+,C이하,2019,
890, GS리테일,007070,B,B,A,C이하,2019,
889, GS홈쇼핑,028150,B+,A,A,C이하,2019,
888, HDC,012630,B,B+,B+,C이하,2019,
887, HDC아이콘트롤스,039570,C이하,B,B,C이하,2019,
886, HDC현대EP,089470,B,B,B,B,2019,
885, HSD엔진,082740,A,A,A+,B+,2019,
884, JB금융지주,175330,A,A,A,B+,2019,금융회사
883, JW생명과학,234080,B+,B+,B+,B+,2019,
882, JW중외제약,001060,B+,B+,A,B,2019,
881, JW홀딩스,096760,B,B,B+,C이하,2019,
880, JYP Ent.,035900,C이하,B,C이하,C이하,2019,
879, KB국민카드,861717,,A,,,2019,금융회사
878, KB금융,105560,A+,A+,A,A+,2019,금융회사
877, KB생명보험,805087,,B+,,,2019,금융회사
876, KB손해보험,002550,,A,,,2019,금융회사
875, KB증권,003450,,B+,,,2019,금융회사
874, KB캐피탈,825121,,A,,,2019,금융회사
873, KCC건설,021320,C이하,B,B,C이하,2019,
872, KC그린홀딩스,009440,B,B,B,B,2019,
871, KC코트렐,119650,B,B,C이하,B,2019,
870, KEC,092220,B,B,C이하,B,2019,
869, KG이니시스,035600,C이하,D,B,C이하,2019,
868, KG케미칼,001390,C이하,C,C이하,C이하,2019,
867, KISCO홀딩스,001940,B,B,C이하,B,2019,
866, KPX케미칼,025000,B,B,C이하,B,2019,
865, KPX홀딩스,092230,C이하,B,C이하,C이하,2019,
864, KR모터스,000040,C이하,C,B,C이하,2019,
863, KSS해운,044450,B+,B+,B+,B,2019,
862, KTB투자증권,030210,C이하,C이하,B,C이하,2019,금융회사
861, KTH,036030,B,B+,B,C이하,2019,
860, KTcs,058850,B,B+,B+,C이하,2019,
859, KTis,058860,B,B+,B+,C이하,2019,
858, KT서브마린,060370,B,B+,B,C이하,2019,
857, LF,093050,B,B+,B,C이하,2019,
856, LG,003550,B+,B+,A,B,2019,
855, LG디스플레이,034220,B+,B,A,B+,2019,
854, LG상사,001120,B+,B+,A,C이하,2019,
853, LG생활건강,051900,A,B+,A+,A,2019,
852, LG유플러스,032640,B+,B+,A,B+,2019,
851, LG이노텍,011070,B+,B+,A,B+,2019,
850, LG전자,066570,B+,B,A,A,2019,
849, LG하우시스,108670,A,B+,A,A,2019,
848, LG화학,051910,B+,B+,A+,C이하,2019,
847, LIG넥스원,079550,B+,B+,A,B+,2019,
846, LS,006260,B+,B,A,B,2019,
845, LS네트웍스,000680,B,B,B,C이하,2019,
844, LS산전,010120,A,A,A,A,2019,
843, LS전선아시아,229640,B,B+,C이하,C이하,2019,
842, MH에탄올,023150,B,B,B,C이하,2019,
841, NAVER,035420,B+,B+,A,B,2019,
840, NH농협손해보험,839719,,A,,,2019,금융회사
839, NH투자증권,005940,B+,B+,A,C이하,2019,금융회사
838, NICE,034310,B,B+,B,C이하,2019,
837, NICE평가정보,030190,B,B,B,C이하,2019,
836, NI스틸,008260,C이하,C,C이하,C이하,2019,
835, OCI,010060,A,A,A+,B,2019,
834, S&TC,100840,B,B,B+,B,2019,
833, S&T모티브,064960,B,B+,B,B,2019,
832, S&T중공업,003570,B,B,B,B+,2019,
831, S&T홀딩스,036530,B,B,B,C이하,2019,
830, S-Oil,010950,A,A+,A+,B+,2019,
829, SBS,034120,B,B+,B,C이하,2019,
828, SBS미디어홀딩스,101060,B,B,B,C이하,2019,
827, SBS콘텐츠허브,046140,C이하,B,C이하,C이하,2019,
826, SG세계물산,004060,C이하,C,B,C이하,2019,
825, SG충방,001380,C이하,D,C이하,C이하,2019,
824, SH에너지화학,002360,C이하,B+,C이하,C이하,2019,
823, SIMPAC,009160,C이하,C,C이하,C이하,2019,
822, SK,034730,A,A,A,A,2019,
821, SKC,011790,A,A,A,B+,2019,
820, SKC 솔믹스,057500,B+,B+,B,B+,2019,
819, SKC코오롱PI,178920,B,B+,C이하,B,2019,
818, SK가스,018670,B+,A,B+,B,2019,
817, SK네트웍스,001740,A+,A+,A+,B+,2019,
816, SK디스커버리,006120,B+,A,B+,C이하,2019,
815, SK디앤디,210980,B,B+,B,C이하,2019,
814, SK머티리얼즈,036490,B,B+,B,B,2019,
813, SK바이오랜드,052260,B,B+,B,C이하,2019,
812, SK이노베이션,096770,A,A,A+,A,2019,
811, SK증권,001510,B,B+,B+,C이하,2019,금융회사
810, SK텔레콤,017670,A,A+,A,B+,2019,
809, SK하이닉스,000660,A,B+,A+,B+,2019,
808, SPC삼립,005610,B+,B+,A,B,2019,
807, STX,011810,B,B,B,C이하,2019,
806, STX엔진,077970,B,B,B,B+,2019,
805, TCC스틸,002710,C이하,C,B,C이하,2019,
804, WISCOM,024070,C이하,B,C이하,C이하,2019,
803, YG PLUS,037270,C이하,B,C이하,C이하,2019,
802, 가온전선,000500,B,B+,C이하,B,2019,
801, 강남제비스코,000860,C이하,B,C이하,C이하,2019,
800, 강원랜드,035250,B+,B,A,B+,2019,
799, 갤럭시아에스엠,011420,C이하,C,C이하,C이하,2019,
798, 갤럭시아컴즈,094480,C이하,B,C이하,C이하,2019,
797, 게임빌,063080,B,B,B,C이하,2019,
796, 경남은행,192520,,B+,,,2019,금융회사
795, 경농,002100,C이하,C,B+,B,2019,
794, 경동나비엔,009450,B+,B,A,B,2019,
793, 경동도시가스,267290,B+,B+,A,B,2019,
792, 경동인베스트,012320,C이하,C,B+,C이하,2019,
791, 경방,000050,C이하,B,B,C이하,2019,
790, 경보제약,214390,B,B,B,B,2019,
789, 경인양행,012610,B,B,C이하,B,2019,
788, 경인전자,009140,C이하,B,C이하,C이하,2019,
787, 계룡건설산업,013580,B+,B+,B+,B,2019,
786, 계양전기,012200,B,B,B+,B,2019,
785, 고려개발,004200,B,B,B+,C이하,2019,
784, 고려산업,002140,C이하,C,C이하,C이하,2019,
783, 고려아연,010130,B,B,B,B,2019,
782, 고려제강,002240,C이하,D,B,B+,2019,
781, 고영,098460,C이하,C,B,B,2019,
780, 광동제약,009290,B,B+,B,C이하,2019,
779, 광명전기,017040,C이하,D,B,C이하,2019,
778, 광전자,017900,B,B,B,B,2019,
777, 광주신세계,037710,B,B+,B,C이하,2019,
776, 광주은행,192530,,B+,,,2019,금융회사
775, 교보생명보험,811097,,B+,,,2019,금융회사
774, 교보증권,030610,B,B,B+,C이하,2019,금융회사
773, 국도화학,007690,C이하,C,C이하,B+,2019,
772, 국동,005320,C이하,B,C이하,C이하,2019,
771, 국민은행,060000,,B+,,,2019,금융회사
770, 국보,001140,C이하,C,C이하,B,2019,
769, 국제약품,002720,B,B+,B,C이하,2019,
768, 그린케미칼,083420,B,B,C이하,B,2019,
767, 극동유화,014530,B,B,C이하,B,2019,
766, 금강공업,014280,C이하,C,B,C이하,2019,
765, 금비,008870,C이하,C,B,C이하,2019,
764, 금양,001570,C이하,B,C이하,C이하,2019,
763, 금호산업,002990,B,B,B,B,2019,
762, 금호석유화학,011780,B+,B+,B+,B+,2019,
761, 금호에이치티,214330,C이하,C,C이하,C이하,2019,
760, 금호전기,001210,C이하,C,B+,B,2019,
759, 금호타이어,073240,B+,B+,B+,B,2019,
758, 기신정기,092440,C이하,B,C이하,C이하,2019,
